feature,importance_mean,importance_std
item_834_count,0.2873439467618738,0.009425100492639405
item_834_mean,0.024849046272205688,0.004460362793650251
LAST_CAREUNIT_SICU,0.02359230675818136,0.001150692991242849
item_723_last,0.02139431472747997,0.0010582888579767557
item_211_mean,0.021320663434527088,0.002009435624939398
ADMISSION_LOCATION_CLINIC REFERRAL/PREMATURE,0.020797537928766964,0.0027160946144850692
item_113_min,0.01870071562664135,0.005018166821139019
FIRST_CAREUNIT_SICU,0.017650054128502034,0.0008153284548248751
item_211_count,0.017630520757161417,0.0014057729914062657
item_223900_last,0.01650196118821473,0.0007972443178591652
item_198_last,0.015934773447263063,0.0011294124169798274
item_211_min,0.011908670528872378,0.0028330601745799352
item_113_max,0.003024734493161507,0.0023467022607419215
item_211_last,0.002617837145619617,0.0007349341602215217
ADMISSION_LOCATION_TRANSFER FROM HOSP/EXTRAM,0.0025501994832348163,0.0008701848824462622
missingindicator_item_220050_mean,0.0023854921157613895,0.0003132431189564528
item_834_last,0.002014537087536572,0.00047201703919132036
item_646_count,0.0017801549995760668,0.00020970254244499748
item_834_max,0.0016488995211952906,0.001577939578715833
item_220739_last,0.0016138865660005775,0.00023151291703051377
item_211_max,0.001502677604207292,0.0004546934838482213
item_51_last,0.0013969204314410177,0.00019404031970344
LAST_CAREUNIT_CCU,0.001288616286813149,4.997404400920795e-05
AGE,0.001259127494746126,0.00043362164220754086
item_220210_mean,0.0011100629772367032,0.000229632653775822
missingindicator_item_8368_mean,0.001025109591067197,0.00018100180105452658
item_220050_last,0.001016691323749519,0.00014664324794069744
FIRST_CAREUNIT_CCU,0.0009319632861481186,0.00014801235645664796
item_223901_last,0.0009058764513121154,0.00020758807896882628
ADMISSION_LOCATION_PHYS REFERRAL/NORMAL DELI,0.0008390016497927255,0.0007085158245345363
LAST_CAREUNIT_MICU,0.0008081760799460436,0.00014239706007142307
item_220074_min,0.0007942424806078319,0.0001717297417737688
missingindicator_item_52_mean,0.0007456754009929512,0.0001466990882570216
item_618_mean,0.0006976986223807379,0.0002074250012930923
item_646_last,0.0006679846678577684,0.00015183651211849767
LAST_CAREUNIT_CSRU,0.0005824876884081176,0.00010086748913113892
item_492_min,0.0005602647928520721,8.56311413484398e-05
item_492_last,0.0005205505914653962,6.620895470240708e-05
missingindicator_item_52_std,0.0004930198657538409,0.0001744289303846043
item_646_mean,0.0004578822504961888,0.00014323245231125212
item_113_last,0.00044409058953146505,0.00024728058861506826
item_220045_count,0.0004424919684051343,5.674125574972866e-05
item_8441_last,0.0004057824142270405,4.583409827688078e-05
item_646_min,0.0004024620371055665,0.00021103951768178643
item_220277_last,0.00040009139237975335,4.0757511927977565e-05
missingindicator_item_811_std,0.0003881043857608679,0.00012275927205319305
item_52_mean,0.0003859942875181543,0.00012011246509918187
item_811_count,0.0003646278218400245,0.0001734675706133659
item_220277_count,0.0003158936417763991,7.268844655515239e-05
item_454_last,0.0002925361075639454,9.738130054166546e-05
item_8448_last,0.00029184229655830894,9.231710417954982e-05
item_220050_mean,0.00028700887879298256,8.303303303190691e-05
item_223761_count,0.0002825751485819539,0.0001330294931348892
item_8368_mean,0.00028194678465226497,0.00016005625504115874
item_678_count,0.0002785099921000511,0.00015582932612774028
MARITAL_STATUS_UNKNOWN,0.00026601578862841537,5.998621367945475e-05
item_679_last,0.00024839735200163913,2.827459673757827e-05
item_677_count,0.00023977267932975276,9.213699200806399e-05
item_51_max,0.00023948320901332477,0.0001674476772221454
item_220045_last,0.00023426558485795113,7.363743500837248e-05
item_52_last,0.00023104330724237342,7.436663127290023e-05
item_51_mean,0.00022522718699931056,0.00013496631828197476
item_8441_mean,0.00022305428766913326,0.00016768436463277406
item_198_std,0.00020723257061934232,7.839764761959755e-05
item_220277_min,0.0001933564950565847,0.0001001519071914222
item_220045_min,0.00019316716557007396,9.0443309408513e-05
MARITAL_STATUS_SINGLE,0.00018819590241866412,4.283126670027913e-05
item_220739_count,0.00018666495753677514,7.590073681905374e-05
FIRST_CAREUNIT_TSICU,0.00018290255702775317,7.638769588223024e-05
item_198_mean,0.00016918288346846612,0.0001490399025714756
item_220074_count,0.00016813379096761727,4.020867829020946e-05
item_456_last,0.00016384849062937024,0.00010809042955118477
item_678_max,0.00015903495097726594,3.492022547705688e-05
ADMISSION_TYPE_ELECTIVE,0.00015842331188848925,0.00012066054089430728
item_492_std,0.00015202924033584918,7.740364677997374e-05
item_456_min,0.00014871051240757937,9.92981410693199e-05
RELIGION_UNOBTAINABLE,0.0001480552212868136,0.0003656468510503564
INSURANCE_SELF PAY,0.0001479951302771787,8.029687305723033e-05
item_223900_mean,0.00014746814014759968,4.1872460823651016e-05
item_224641_count,0.000147406176308984,5.750870544387648e-05
item_184_last,0.0001425187638137815,6.119807862254326e-05
item_184_mean,0.00014072833409149997,0.00015961083456694048
item_723_count,0.00013882161347535948,0.00011354730483285251
item_454_mean,0.00013879965791709913,7.786649771287778e-05
item_220045_max,0.00013700704935536433,5.804560818044075e-05
item_581_last,0.00013680654606249565,2.35034182310331e-05
item_676_max,0.00012944672475049269,5.413523455213625e-05
ED_LOS_HOURS,0.0001277754163547695,5.488690856248665e-05
item_8368_std,0.00012068984388254877,3.280417382989778e-05
item_811_last,0.00011924170400168244,4.696106359477339e-05
item_455_max,0.00010699058405945205,4.756255392189193e-05
INSURANCE_MEDICAID,0.00010685862322740158,0.000555859279116984
item_679_min,0.00010046406330546098,6.227642063948822e-05
item_581_min,9.95461404943332e-05,5.800630187545437e-05
item_220210_count,9.510891738115924e-05,3.089879707202112e-05
LANGUAGE_ENGL,9.229783090030086e-05,0.0001760872524202575
item_646_std,8.949076091910869e-05,8.914900882982113e-05
LANGUAGE_UNKNOWN,8.921973892432878e-05,7.397289704545692e-05
item_455_count,8.751764185065403e-05,5.008644730500634e-05
item_220739_mean,8.63681753588974e-05,1.1881816271798686e-05
item_677_min,8.068006780096449e-05,3.6753752830207176e-05
FIRST_CAREUNIT_CSRU,7.453329387263619e-05,6.333063648258527e-05
item_220210_max,7.207274749401193e-05,6.346538599450683e-05
item_454_count,7.192845485133325e-05,2.1248659481849112e-05
item_8554_count,7.048270217410168e-05,2.906564688136369e-05
item_5820_mean,6.969177402090798e-05,5.786166197086204e-05
item_184_count,6.823465828800223e-05,0.00012245062998669638
item_581_std,6.572585966981847e-05,3.2891543753099324e-05
missingindicator_item_51_mean,6.398235636040361e-05,4.430884147562832e-05
missingindicator_item_581_mean,6.303442398456483e-05,3.0433773790349414e-05
item_455_last,6.194349638070085e-05,0.00011950253504351098
missingindicator_item_220074_mean,6.178183519089941e-05,2.1948383930723463e-05
item_184_std,6.154854202178317e-05,0.0001712076379457708
item_678_last,6.142121026435632e-05,0.00021087128883811782
item_220045_mean,5.94017143955905e-05,3.794817754292394e-05
item_223900_count,5.8944508988456604e-05,2.4665959504181805e-05
item_679_count,5.882512494627123e-05,2.6695774028155265e-05
ETHNICITY_BLACK/AFRICAN AMERICAN,5.871154243853871e-05,3.183990003838544e-05
ADMISSION_TYPE_URGENT,5.8548029964189396e-05,0.0001090112653398503
item_8448_std,5.646329804196437e-05,1.9662533321699716e-05
FIRST_CAREUNIT_MICU,5.600087127837217e-05,7.547166753453772e-05
item_8441_min,5.544391715157637e-05,4.8032885450659995e-05
RELIGION_PROTESTANT QUAKER,5.4965089184033646e-05,8.294947898102915e-05
item_677_mean,5.321428924113247e-05,2.258780853748028e-05
item_220739_std,5.3202895049697664e-05,1.4176076705957739e-05
item_456_std,5.0290291616872375e-05,0.0001280692966729203
item_224168_count,5.015296365301625e-05,4.5210416530204265e-05
item_223901_std,4.3744524690425554e-05,5.1693949920083864e-05
item_220052_mean,4.23603420774743e-05,7.111234777055127e-05
item_8553_mean,4.103302764247862e-05,3.664586341539554e-05
item_184_max,4.067201955032518e-05,8.481393404853313e-06
item_220050_std,4.047226546761706e-05,8.686449098441386e-06
item_811_max,3.901433446650282e-05,0.00019545929341563276
missingindicator_item_5819_mean,3.718970636884533e-05,2.3588591031306404e-05
item_220179_min,3.614503345595876e-05,1.0357172048609628e-05
item_618_last,3.613301984722872e-05,9.714549361190299e-05
item_8448_min,3.569477030160861e-05,1.5559813030757147e-05
item_678_mean,3.553432878464768e-05,8.313514112115302e-05
GENDER_F,3.4976260830477115e-05,0.00019520249431757164
item_220181_last,3.43638148474712e-05,4.150943691235735e-05
item_220074_std,3.4108551004929935e-05,2.61182638174158e-05
item_492_mean,3.380574397330305e-05,1.9265162757367973e-05
item_618_min,3.145229271271921e-05,0.00023622096831435498
item_677_max,3.0941951318141925e-05,1.8431911258868846e-05
item_52_max,2.9680343193227987e-05,5.208020176501107e-05
item_220051_mean,2.802492593465544e-05,3.602251813865732e-05
item_5820_std,2.7207694416520047e-05,3.870353153446243e-05
item_8441_count,2.5878249958766198e-05,1.9698370842729904e-05
item_618_std,2.5869131112310485e-05,9.564655192727717e-05
item_220074_max,2.5492466841448012e-05,7.317187030289729e-05
item_723_mean,2.5490454741849965e-05,5.8056147238216324e-05
missingindicator_item_8553_mean,2.5096765878840353e-05,6.690559824105145e-06
missingindicator_item_220050_std,2.4643399216672802e-05,1.665766692804398e-05
item_220179_last,2.395767139224958e-05,4.22916564142436e-06
item_454_min,2.3809567743882098e-05,2.108567506326761e-05
item_455_min,2.2448276592201832e-05,2.2107169273700276e-06
LAST_CAREUNIT_TSICU,2.2407334694263258e-05,1.333256113342645e-05
item_492_count,2.2323880348174008e-05,1.2491349604045757e-05
item_220179_count,2.2131005725911646e-05,8.716384540317599e-06
item_723_min,2.181645605122684e-05,8.352505947772675e-06
item_455_std,2.1597055421851417e-05,1.902031353546756e-05
item_455_mean,2.1324163874869574e-05,7.727482299127928e-05
item_220181_std,2.1178946574829105e-05,7.964220123547911e-06
item_454_max,2.1035559309257045e-05,7.851407459086535e-06
item_220277_std,2.0753794870576046e-05,3.1025478698152547e-06
missingindicator_item_8368_std,2.033822911986505e-05,3.7437827544992114e-05
missingindicator_item_220052_mean,2.0192196624313486e-05,8.073094979304998e-06
item_456_count,1.9777467405757142e-05,4.2218260938691994e-05
item_220179_mean,1.8711191789233526e-05,1.3435985007540647e-05
missingindicator_item_834_mean,1.8410569836102564e-05,5.043239840276848e-05
item_220210_std,1.7761213603617597e-05,2.8499351486796617e-05
item_678_min,1.7469034719852507e-05,2.955275380706006e-05
missingindicator_item_8547_mean,1.6901643620625962e-05,2.7392051569190187e-05
item_723_max,1.6710180378343153e-05,2.0025881251239593e-05
item_581_mean,1.543906430894193e-05,1.3569941528290931e-05
item_5817_max,1.4503636321372414e-05,2.3553062116401405e-05
ADMISSION_LOCATION_** INFO NOT AVAILABLE **,1.3784047052167737e-05,1.2026951074517427e-05
item_492_max,1.3672414549648072e-05,3.204009795288096e-06
item_220181_mean,1.3525100063416229e-05,2.0765958013850153e-05
item_5820_max,1.2630939054614209e-05,0.00016915509157131936
item_220052_last,1.190547368845607e-05,1.547117698727534e-05
item_679_std,1.1797699632887237e-05,6.3338098465718325e-06
missingindicator_item_678_std,1.1566171126098368e-05,1.0595727743316105e-05
item_220181_min,1.0610550046141753e-05,8.54261983181271e-05
item_220210_min,1.0535840627778904e-05,8.110784493115824e-05
item_811_mean,1.0375660674100117e-05,0.000136656133422294
item_220210_last,9.778875427235433e-06,7.404467935812208e-06
item_8547_last,9.717420084076612e-06,3.822392279720818e-05
item_8441_max,9.576097985541931e-06,0.0001591675750936799
item_811_std,7.748292681331037e-06,3.273383149801946e-05
item_8549_std,6.488037502949684e-06,2.8517591435647102e-05
item_8551_max,6.295969373981691e-06,5.528916754423409e-05
item_220180_mean,6.216364101607752e-06,3.5975949311173115e-06
item_223901_mean,5.832211512202256e-06,1.922977686411538e-05
item_220051_min,4.923985261784392e-06,8.534153307288227e-06
item_581_max,4.862646608827514e-06,1.4339200174509336e-05
item_8551_last,3.885061068453766e-06,2.7754438530221053e-05
item_5817_mean,3.6055318758942967e-06,6.837185809266434e-06
item_8547_max,2.0724267587701737e-06,3.132895527317217e-05
item_220052_count,8.709887368119063e-07,2.830529343380496e-06
item_223761_last,8.620649437185435e-07,1.909349480352417e-05
item_220180_last,2.380853036165753e-07,1.88671704009651e-05
missingindicator_item_492_last,0.0,0.0
missingindicator_item_492_std,0.0,0.0
missingindicator_item_492_mean,0.0,0.0
missingindicator_item_834_count,0.0,0.0
missingindicator_item_220050_count,0.0,0.0
missingindicator_item_492_min,0.0,0.0
missingindicator_item_220181_mean,0.0,0.0
missingindicator_item_834_std,0.0,0.0
missingindicator_item_220050_max,0.0,0.0
missingindicator_item_492_max,0.0,0.0
missingindicator_item_492_count,0.0,0.0
missingindicator_item_220050_min,0.0,0.0
missingindicator_item_220181_min,0.0,0.0
item_5813_mean,0.0,0.0
missingindicator_item_220051_count,0.0,0.0
missingindicator_item_220051_last,0.0,0.0
missingindicator_item_220179_mean,0.0,0.0
missingindicator_item_834_max,0.0,0.0
missingindicator_item_220181_count,0.0,0.0
missingindicator_item_220181_std,0.0,0.0
missingindicator_item_834_min,0.0,0.0
missingindicator_item_220181_max,0.0,0.0
missingindicator_item_220181_last,0.0,0.0
missingindicator_item_646_max,0.0,0.0
missingindicator_item_678_last,0.0,0.0
missingindicator_item_456_count,0.0,0.0
missingindicator_item_646_count,0.0,0.0
missingindicator_item_646_min,0.0,0.0
missingindicator_item_646_last,0.0,0.0
missingindicator_item_456_mean,0.0,0.0
missingindicator_item_646_mean,0.0,0.0
missingindicator_item_456_min,0.0,0.0
missingindicator_item_220051_max,0.0,0.0
missingindicator_item_8547_last,0.0,0.0
missingindicator_item_456_max,0.0,0.0
missingindicator_item_220051_std,0.0,0.0
missingindicator_item_220051_min,0.0,0.0
missingindicator_item_220051_mean,0.0,0.0
missingindicator_item_456_std,0.0,0.0
missingindicator_item_220052_last,0.0,0.0
missingindicator_item_220050_last,0.0,0.0
missingindicator_item_220052_count,0.0,0.0
missingindicator_item_456_last,0.0,0.0
missingindicator_item_678_mean,0.0,0.0
missingindicator_item_220052_std,0.0,0.0
missingindicator_item_678_min,0.0,0.0
missingindicator_item_220052_max,0.0,0.0
missingindicator_item_8547_count,0.0,0.0
missingindicator_item_678_max,0.0,0.0
missingindicator_item_834_last,0.0,0.0
missingindicator_item_8547_std,0.0,0.0
missingindicator_item_220052_min,0.0,0.0
missingindicator_item_678_count,0.0,0.0
missingindicator_item_646_std,0.0,0.0
missingindicator_item_8547_max,0.0,0.0
missingindicator_item_224168_std,0.0,0.0
missingindicator_item_224168_mean,0.0,0.0
missingindicator_item_223761_last,0.0,0.0
missingindicator_item_223761_mean,0.0,0.0
missingindicator_item_223761_min,0.0,0.0
missingindicator_item_223761_max,0.0,0.0
missingindicator_item_223901_mean,0.0,0.0
missingindicator_item_223761_std,0.0,0.0
missingindicator_item_223761_count,0.0,0.0
missingindicator_item_220739_last,0.0,0.0
missingindicator_item_220210_mean,0.0,0.0
missingindicator_item_220045_mean,0.0,0.0
missingindicator_item_220045_min,0.0,0.0
missingindicator_item_220045_max,0.0,0.0
missingindicator_item_220045_std,0.0,0.0
missingindicator_item_220045_count,0.0,0.0
missingindicator_item_220739_count,0.0,0.0
missingindicator_item_220277_last,0.0,0.0
missingindicator_item_223901_min,0.0,0.0
missingindicator_item_223901_max,0.0,0.0
missingindicator_item_223901_std,0.0,0.0
missingindicator_item_223901_count,0.0,0.0
missingindicator_item_223901_last,0.0,0.0
missingindicator_item_223900_mean,0.0,0.0
missingindicator_item_223900_min,0.0,0.0
missingindicator_item_220277_count,0.0,0.0
missingindicator_item_223900_max,0.0,0.0
missingindicator_item_223900_std,0.0,0.0
missingindicator_item_223900_count,0.0,0.0
missingindicator_item_223900_last,0.0,0.0
missingindicator_item_220277_std,0.0,0.0
missingindicator_item_220277_mean,0.0,0.0
missingindicator_item_220277_max,0.0,0.0
missingindicator_item_220179_max,0.0,0.0
missingindicator_item_220045_last,0.0,0.0
missingindicator_item_220739_std,0.0,0.0
missingindicator_item_220180_last,0.0,0.0
missingindicator_item_220180_max,0.0,0.0
missingindicator_item_220074_last,0.0,0.0
missingindicator_item_224641_max,0.0,0.0
missingindicator_item_224641_min,0.0,0.0
missingindicator_item_224641_mean,0.0,0.0
missingindicator_item_220180_mean,0.0,0.0
missingindicator_item_220180_min,0.0,0.0
missingindicator_item_220180_std,0.0,0.0
missingindicator_item_220739_max,0.0,0.0
missingindicator_item_224168_last,0.0,0.0
missingindicator_item_224168_count,0.0,0.0
missingindicator_item_220277_min,0.0,0.0
missingindicator_item_220180_count,0.0,0.0
missingindicator_item_224168_max,0.0,0.0
missingindicator_item_224168_min,0.0,0.0
missingindicator_item_224641_std,0.0,0.0
missingindicator_item_220074_count,0.0,0.0
missingindicator_item_220074_max,0.0,0.0
missingindicator_item_224641_count,0.0,0.0
missingindicator_item_220074_min,0.0,0.0
missingindicator_item_224641_last,0.0,0.0
missingindicator_item_220210_last,0.0,0.0
missingindicator_item_811_min,0.0,0.0
missingindicator_item_811_max,0.0,0.0
